region,avg,beryl_region
TH,"[array([ 5.92803147,  5.92280627,  5.92978644,  5.88303739,  5.84702318,
        5.93236825,  5.87384221,  5.82802439,  5.78959975,  5.79932769,
        5.82008543,  5.81722353,  5.77925711,  5.80965344,  5.78995207,
        5.75044604,  5.73775394,  5.79422676,  5.72316216,  5.81145228,
        5.80176799,  5.7929386 ,  5.77658935,  5.78810917,  5.78513584,
        5.76308766,  5.83668604,  5.75981788,  5.76856311,  5.77281247,
        5.78487601,  5.77066926,  5.75631241,  5.8575189 ,  5.80637959,
        5.81558225,  5.79271012,  5.85519539,  5.81447272,  5.81648981,
        5.82425108,  5.88397156,  5.81610403,  5.94406385,  5.86066943,
        5.87532561,  5.91237065,  5.9453735 ,  5.92109299,  5.87355523,
        6.3009433 ,  8.77668313,  7.73414671,  7.6294595 ,  8.25599275,
        8.94476235,  9.42416183,  9.69469896,  9.98246517, 10.38013382,
       10.58291271, 11.00413779, 11.0826642 , 11.19286286, 11.17161569,
       11.17588569, 11.15054231, 11.07799451, 11.07830689, 10.96973913,
       10.89371046, 10.94385049, 10.85936723, 10.78304347, 10.73882332,
       10.79525479, 10.75200814, 10.64792921, 10.76381146, 10.75126131,
       10.6897312 , 10.79521448, 10.68728598, 10.62737771, 10.65790749,
       10.68161301, 10.51310067, 10.55477603, 10.36198615, 10.36877463,
       10.34842287, 10.27246363, 10.16880292, 10.11379368, 10.0985523 ,
       10.11179524, 10.00415857,  9.94233257,  9.91285778,  9.8902253 ,
        9.8154307 ,  9.76004372,  9.66118937,  9.62870789,  9.58601646,
        9.48791792,  9.55583728,  9.46465909,  9.51450216,  9.46575252,
        9.42327645,  9.39264948,  9.35586476,  9.3689525 ,  9.30051193,
        9.26069627,  9.24263618,  9.29592451,  9.27260653,  9.23240734,
        9.18236793,  9.16769956,  9.19918364,  9.13888505,  9.07420192,
        9.12293739,  9.06488774,  9.10666557,  9.11151027,  9.05813034,
        9.01444531,  8.91738857,  8.97391907,  8.9567285 ,  8.95032416,
        8.86400427,  8.85793267,  8.81277682,  8.87073631,  8.8298692 ,
        8.78174678,  8.82925053,  8.7905272 ,  8.7520711 ,  8.73577752,
        8.69326761,  8.74451284,  8.75911038,  8.67780924,  8.71035013])]",TH
MGv,"[array([ 6.35338521,  6.11853378,  6.2689627 ,  6.25426851,  6.47233841,
        6.1122066 ,  6.11764565,  6.3675162 ,  6.02951358,  6.10972816,
        6.27388085,  6.09121434,  6.16261118,  6.23960386,  6.26219773,
        5.74371794,  6.64433466,  6.29910152,  6.21751874,  6.18481458,
        6.30019597,  5.94785393,  5.81405962,  6.38666929,  6.16059617,
        6.06362249,  6.13208489,  5.78202364,  5.87900158,  6.13229406,
        5.94483603,  6.04643493,  6.04290698,  5.96757013,  6.03841089,
        5.81235309,  6.09135566,  6.0699797 ,  5.94775098,  5.95827593,
        6.39900523,  6.28976991,  5.89288156,  5.85519975,  5.75253133,
        5.71760058,  5.79562574,  6.05100434,  6.19840675,  5.90319339,
        6.09342557,  9.11280276,  5.81336823,  7.52363243,  7.20634292,
        7.40182137,  7.29958442,  7.2181238 ,  7.08524806,  6.69566569,
        7.09297279,  7.62967266,  8.11288793,  8.30253489,  8.38249767,
        8.27632829,  8.20589031,  7.97957332,  8.15368044,  8.15339755,
        7.86751773,  7.88994913,  8.03885965,  8.09759968,  8.17828054,
        8.50906072,  9.04880721,  9.08808375,  9.19369945,  9.40347344,
       10.298097  ,  9.86716153, 10.51921689, 10.23392234,  9.85402761,
        9.7582088 ,  9.8931716 ,  9.85935539, 10.01448357,  9.80456552,
        9.95963262,  9.59523159, 10.27008336,  9.69615027,  9.85239229,
        9.86032858,  9.6400977 ,  9.39396307,  9.11023418,  9.34800324,
        9.49045078,  9.29974761,  9.18639172,  9.55653562,  8.90196975,
        8.86967004,  9.22755566,  9.07646419,  9.19374555,  9.10172381,
        8.92258976,  8.78740451,  9.11150493,  8.87090215,  8.68250162,
        8.84184698,  8.86348981,  9.08546724,  9.12305942,  9.10704056,
        8.66687734,  8.78093758,  8.8978345 ,  9.20332903,  9.25282656,
        9.32081775,  8.9256701 ,  8.73831042,  8.71916705,  8.91034192,
        9.12028887,  8.98646528,  8.85362326,  8.88164228,  8.38410663,
        8.79713373,  8.57519129,  8.80441492,  8.63935864,  8.24340497,
        8.4679758 ,  8.47879841,  8.44684459,  8.47651602,  8.10523966,
        8.25680515,  8.39606972,  8.54257503,  8.51153571,  8.55152629])]",MG
LGd-co,"[array([2.96710601, 3.06309389, 2.74479017, 2.71512094, 2.93781027,
       2.63154699, 2.89311886, 2.59675016, 3.10687653, 2.92561623,
       2.67557295, 2.68915852, 2.49298978, 2.67258922, 2.71817247,
       2.59275538, 2.65772222, 2.91633404, 2.73101154, 2.67278992,
       2.85314492, 2.74931066, 2.68854841, 2.67076061, 2.98572639,
       2.8365292 , 2.77614316, 2.5841068 , 2.5890333 , 2.98686646,
       2.77054001, 2.47640835, 3.11072047, 2.89389017, 2.92990075,
       2.72678484, 2.87036719, 2.83871198, 2.69943515, 2.47984857,
       2.80600896, 2.85651033, 2.87711534, 2.68108811, 3.04222366,
       2.65620296, 2.6318102 , 2.78668251, 2.73074445, 2.86148584,
       3.02221236, 3.41844643, 4.56580369, 8.44165782, 9.98090811,
       8.84497024, 8.08325293, 7.49705647, 6.8891661 , 6.54769362,
       5.89435623, 5.9908617 , 5.764875  , 6.04566141, 5.96009246,
       6.52768375, 6.5583832 , 6.84987985, 6.43285189, 6.81178342,
       6.66962785, 6.8288891 , 7.12497911, 6.74087992, 7.21653793,
       7.06296038, 6.94260787, 6.99831625, 6.59509677, 6.09267332,
       6.07249325, 5.61487591, 5.67624453, 5.67023435, 5.61857112,
       5.51138795, 5.08338271, 5.6160936 , 5.43978083, 5.28343735,
       5.46335575, 5.02822299, 5.25572731, 5.38722132, 4.95837559,
       4.91243617, 4.90144416, 4.9107751 , 5.3164023 , 4.79461021,
       4.34270079, 4.54417516, 4.45115814, 4.50518787, 4.40023312,
       4.51076231, 4.31845434, 4.71424257, 4.1981591 , 4.35372894,
       4.38387647, 4.04510915, 4.53990273, 4.6736864 , 4.45081932,
       4.25762495, 4.49839313, 4.19504061, 4.3004719 , 4.49818196,
       4.66159807, 4.21809304, 4.32874385, 4.1054048 , 4.1798086 ,
       4.403586  , 4.19066032, 4.30473488, 4.21551652, 4.60513991,
       4.12634742, 4.20106423, 4.31134434, 4.46222308, 4.20158966,
       4.31054793, 4.11556929, 4.28502378, 4.22803603, 4.51718794,
       4.72574329, 4.40520689, 4.34561981, 4.25362288, 4.379277  ,
       4.03387604, 4.4468111 , 4.46205635, 4.5038047 , 4.48148423])]",LGd
LGd-ip,"[array([2.96710601, 3.06309389, 2.74479017, 2.71512094, 2.93781027,
       2.63154699, 2.89311886, 2.59675016, 3.10687653, 2.92561623,
       2.67557295, 2.68915852, 2.49298978, 2.67258922, 2.71817247,
       2.59275538, 2.65772222, 2.91633404, 2.73101154, 2.67278992,
       2.85314492, 2.74931066, 2.68854841, 2.67076061, 2.98572639,
       2.8365292 , 2.77614316, 2.5841068 , 2.5890333 , 2.98686646,
       2.77054001, 2.47640835, 3.11072047, 2.89389017, 2.92990075,
       2.72678484, 2.87036719, 2.83871198, 2.69943515, 2.47984857,
       2.80600896, 2.85651033, 2.87711534, 2.68108811, 3.04222366,
       2.65620296, 2.6318102 , 2.78668251, 2.73074445, 2.86148584,
       3.02221236, 3.41844643, 4.56580369, 8.44165782, 9.98090811,
       8.84497024, 8.08325293, 7.49705647, 6.8891661 , 6.54769362,
       5.89435623, 5.9908617 , 5.764875  , 6.04566141, 5.96009246,
       6.52768375, 6.5583832 , 6.84987985, 6.43285189, 6.81178342,
       6.66962785, 6.8288891 , 7.12497911, 6.74087992, 7.21653793,
       7.06296038, 6.94260787, 6.99831625, 6.59509677, 6.09267332,
       6.07249325, 5.61487591, 5.67624453, 5.67023435, 5.61857112,
       5.51138795, 5.08338271, 5.6160936 , 5.43978083, 5.28343735,
       5.46335575, 5.02822299, 5.25572731, 5.38722132, 4.95837559,
       4.91243617, 4.90144416, 4.9107751 , 5.3164023 , 4.79461021,
       4.34270079, 4.54417516, 4.45115814, 4.50518787, 4.40023312,
       4.51076231, 4.31845434, 4.71424257, 4.1981591 , 4.35372894,
       4.38387647, 4.04510915, 4.53990273, 4.6736864 , 4.45081932,
       4.25762495, 4.49839313, 4.19504061, 4.3004719 , 4.49818196,
       4.66159807, 4.21809304, 4.32874385, 4.1054048 , 4.1798086 ,
       4.403586  , 4.19066032, 4.30473488, 4.21551652, 4.60513991,
       4.12634742, 4.20106423, 4.31134434, 4.46222308, 4.20158966,
       4.31054793, 4.11556929, 4.28502378, 4.22803603, 4.51718794,
       4.72574329, 4.40520689, 4.34561981, 4.25362288, 4.379277  ,
       4.03387604, 4.4468111 , 4.46205635, 4.5038047 , 4.48148423])]",LGd
LGd-sh,"[array([2.96710601, 3.06309389, 2.74479017, 2.71512094, 2.93781027,
       2.63154699, 2.89311886, 2.59675016, 3.10687653, 2.92561623,
       2.67557295, 2.68915852, 2.49298978, 2.67258922, 2.71817247,
       2.59275538, 2.65772222, 2.91633404, 2.73101154, 2.67278992,
       2.85314492, 2.74931066, 2.68854841, 2.67076061, 2.98572639,
       2.8365292 , 2.77614316, 2.5841068 , 2.5890333 , 2.98686646,
       2.77054001, 2.47640835, 3.11072047, 2.89389017, 2.92990075,
       2.72678484, 2.87036719, 2.83871198, 2.69943515, 2.47984857,
       2.80600896, 2.85651033, 2.87711534, 2.68108811, 3.04222366,
       2.65620296, 2.6318102 , 2.78668251, 2.73074445, 2.86148584,
       3.02221236, 3.41844643, 4.56580369, 8.44165782, 9.98090811,
       8.84497024, 8.08325293, 7.49705647, 6.8891661 , 6.54769362,
       5.89435623, 5.9908617 , 5.764875  , 6.04566141, 5.96009246,
       6.52768375, 6.5583832 , 6.84987985, 6.43285189, 6.81178342,
       6.66962785, 6.8288891 , 7.12497911, 6.74087992, 7.21653793,
       7.06296038, 6.94260787, 6.99831625, 6.59509677, 6.09267332,
       6.07249325, 5.61487591, 5.67624453, 5.67023435, 5.61857112,
       5.51138795, 5.08338271, 5.6160936 , 5.43978083, 5.28343735,
       5.46335575, 5.02822299, 5.25572731, 5.38722132, 4.95837559,
       4.91243617, 4.90144416, 4.9107751 , 5.3164023 , 4.79461021,
       4.34270079, 4.54417516, 4.45115814, 4.50518787, 4.40023312,
       4.51076231, 4.31845434, 4.71424257, 4.1981591 , 4.35372894,
       4.38387647, 4.04510915, 4.53990273, 4.6736864 , 4.45081932,
       4.25762495, 4.49839313, 4.19504061, 4.3004719 , 4.49818196,
       4.66159807, 4.21809304, 4.32874385, 4.1054048 , 4.1798086 ,
       4.403586  , 4.19066032, 4.30473488, 4.21551652, 4.60513991,
       4.12634742, 4.20106423, 4.31134434, 4.46222308, 4.20158966,
       4.31054793, 4.11556929, 4.28502378, 4.22803603, 4.51718794,
       4.72574329, 4.40520689, 4.34561981, 4.25362288, 4.379277  ,
       4.03387604, 4.4468111 , 4.46205635, 4.5038047 , 4.48148423])]",LGd
CA3,"[array([4.42603114, 4.42720104, 4.24182878, 4.29460952, 4.3502302 ,
       4.23700205, 4.22565335, 4.50659946, 4.05723183, 4.38329216,
       4.08674799, 4.29251603, 4.21375628, 4.12365465, 4.25842099,
       4.16775335, 4.22061708, 4.37705418, 4.34619976, 4.43570382,
       4.21457941, 4.45744764, 4.22737718, 4.39657476, 4.33493399,
       4.42536495, 4.34626617, 4.33314436, 4.29869085, 4.41592892,
       4.28876291, 4.38453506, 4.30077208, 4.26224824, 4.44079152,
       4.3954396 , 4.37729639, 4.38746902, 4.28929037, 4.44393176,
       4.39563099, 4.37424955, 4.60052062, 4.55276623, 4.42361957,
       4.56021211, 4.4703968 , 4.42042378, 4.60147388, 4.50466779,
       4.06926754, 5.11011423, 4.95481558, 5.0321594 , 5.13546999,
       5.90649928, 6.74942536, 7.33851132, 7.66042881, 8.38825498,
       9.52995048, 9.84101375, 9.69266465, 9.28021946, 9.04194386,
       8.91049192, 8.3678959 , 8.27598164, 8.04653403, 7.88282183,
       7.88018932, 7.75543032, 7.62114952, 7.50658025, 7.50131422,
       7.30867033, 6.95909406, 6.89859385, 7.00065737, 6.83146159,
       6.49027859, 6.76454136, 6.78770308, 6.87261145, 6.74618375,
       6.42318565, 6.50769245, 6.25130897, 6.38753086, 6.13300671,
       5.83126645, 5.62343961, 5.65524759, 5.51010162, 5.48247681,
       5.39302979, 5.62140004, 5.42430988, 5.60530873, 5.46144192,
       5.43983198, 5.37210356, 5.45882772, 5.16128095, 5.25721308,
       5.20888362, 5.14226522, 5.03884314, 4.9484139 , 5.22197618,
       5.49215665, 5.24698857, 5.16018681, 5.09112622, 5.3955773 ,
       5.14407814, 5.31056854, 5.46251474, 5.36742812, 5.4814735 ,
       5.28204682, 5.0892534 , 5.18324406, 5.27692538, 5.29775802,
       5.20889893, 5.4934573 , 5.19321377, 5.20773101, 5.04963112,
       5.19372238, 5.28979558, 5.05433805, 5.14607339, 5.17038676,
       5.21197321, 5.13451559, 5.14149689, 5.22472477, 5.17149137,
       4.99882531, 5.21145231, 5.08888453, 5.05722855, 4.90534921,
       5.25413542, 5.03887233, 5.20745244, 5.0107718 , 5.1640542 ])]",CA3
DG-sg,"[array([3.39643866, 3.38042987, 3.54520812, 3.51363627, 3.50028243,
       3.53937952, 3.57340713, 3.62050745, 3.5143827 , 3.40468712,
       3.47029369, 3.49715413, 3.48694389, 3.54900731, 3.43476737,
       3.39308257, 3.47136797, 3.35231849, 3.41862977, 3.41758897,
       3.44149168, 3.44849893, 3.72080922, 3.42701069, 3.47351718,
       3.51636745, 3.43605854, 3.41699926, 3.47971791, 3.51679149,
       3.54450638, 3.64559122, 3.51229226, 3.68208379, 3.4716721 ,
       3.53415168, 3.62643432, 3.51159583, 3.73977703, 3.66898916,
       3.7251217 , 3.69493222, 3.44375187, 3.77130818, 3.89221196,
       3.67008963, 3.66609326, 3.80194634, 4.04601824, 3.84155729,
       3.96238047, 4.58271841, 5.99049363, 5.40149515, 6.12643395,
       6.58320814, 6.35183047, 5.90691214, 5.77499481, 6.18975586,
       6.12174666, 6.58898741, 6.63330015, 6.66824339, 6.70613274,
       6.64596479, 6.71715355, 6.5728394 , 6.84054833, 6.74416661,
       6.40240008, 6.3930544 , 6.17445723, 6.08992917, 6.01141459,
       5.83085719, 5.72125451, 5.5528776 , 5.42169368, 5.16560193,
       5.1000219 , 5.1574974 , 5.04671494, 5.13232375, 4.92248941,
       4.93242557, 4.88936123, 4.91044975, 4.92283645, 4.94020596,
       4.8198917 , 4.6909482 , 4.58135469, 4.54132341, 4.33504408,
       4.39337252, 4.15765905, 3.99364099, 4.28725866, 4.28570239,
       4.33907832, 4.17918477, 4.37907247, 4.20063396, 4.12711055,
       4.33613725, 4.08019269, 4.16967788, 4.23647374, 4.1710138 ,
       4.27899509, 4.22314282, 4.52882164, 4.25934511, 4.41265783,
       4.28595408, 4.37668903, 4.25864152, 4.29254525, 4.07962695,
       4.27507038, 4.13850827, 4.37111436, 4.09832801, 4.28184063,
       4.05714226, 4.23245765, 4.13526616, 4.22123042, 4.26741132,
       3.97862401, 4.07872975, 4.37269788, 4.10204626, 4.25975699,
       4.08310208, 4.25100737, 4.21640679, 4.19845812, 4.41519256,
       4.21410654, 4.30843054, 4.36420902, 4.14985882, 4.26670259,
       4.28998536, 4.21618559, 4.11838951, 4.33758914, 4.4027347 ])]",DG
CA1,"[array([3.7729785 , 3.82392162, 3.75210651, 3.77032773, 3.63873698,
       3.83249101, 3.85458717, 3.8084776 , 3.79782849, 3.85643237,
       3.67248517, 3.75884261, 3.68960214, 3.68881344, 3.61163584,
       3.60169176, 3.75948278, 3.57973124, 3.78974406, 3.68467817,
       3.66651891, 3.67940337, 3.62613793, 3.70198834, 3.67870141,
       3.72870464, 3.68441458, 3.71832389, 3.64663459, 3.63642582,
       3.62345867, 3.68500427, 3.68607706, 3.63496249, 3.77147905,
       3.83707507, 3.78933825, 3.74261775, 3.78393555, 3.7224477 ,
       3.79448532, 3.72955838, 3.8178173 , 3.81645631, 3.76414341,
       3.82464039, 3.85322855, 3.88262913, 3.89315804, 3.87205071,
       3.73851535, 4.11351536, 6.15570152, 7.16675669, 7.57898981,
       8.09460397, 7.03407516, 6.88581633, 6.91123236, 6.83939634,
       6.83031864, 7.05421723, 7.68406013, 8.02681583, 8.24210704,
       8.49253832, 8.36098297, 8.50604526, 8.5899136 , 8.56033252,
       8.65073768, 8.27299092, 8.10652695, 8.07630739, 8.05765839,
       7.66436823, 7.3659599 , 7.18643412, 7.26997186, 6.92233613,
       6.81761756, 6.84845062, 6.5749574 , 6.61435191, 6.63274398,
       6.48482535, 6.65026845, 6.4649773 , 6.44135488, 6.28743145,
       6.13624476, 6.06423952, 5.90194011, 5.86972867, 5.73701485,
       5.80929731, 5.6951023 , 5.76248758, 5.60179013, 5.85619819,
       5.84330508, 5.71479189, 5.82218244, 5.95158338, 5.85108943,
       5.78945303, 5.59194371, 5.64729782, 5.55049686, 5.53198969,
       5.4776735 , 5.56779778, 5.56693689, 5.5453787 , 5.68268282,
       5.72506693, 5.69965549, 5.46538591, 5.76358401, 5.5196842 ,
       5.65098386, 5.61146743, 5.46180842, 5.52435345, 5.40829856,
       5.48724425, 5.55257749, 5.46079336, 5.44732352, 5.56027421,
       5.51450348, 5.63250541, 5.67159026, 5.37910951, 5.50490856,
       5.48019121, 5.30209573, 5.47660438, 5.31244289, 5.31138407,
       5.45876007, 5.31022622, 5.43718437, 5.27415478, 5.33419445,
       5.29952208, 5.37549692, 5.21880803, 5.43391974, 5.37219953])]",CA1
ccs,"[array([ 5.92803147,  5.92280627,  5.92978644,  5.88303739,  5.84702318,
        5.93236825,  5.87384221,  5.82802439,  5.78959975,  5.79932769,
        5.82008543,  5.81722353,  5.77925711,  5.80965344,  5.78995207,
        5.75044604,  5.73775394,  5.79422676,  5.72316216,  5.81145228,
        5.80176799,  5.7929386 ,  5.77658935,  5.78810917,  5.78513584,
        5.76308766,  5.83668604,  5.75981788,  5.76856311,  5.77281247,
        5.78487601,  5.77066926,  5.75631241,  5.8575189 ,  5.80637959,
        5.81558225,  5.79271012,  5.85519539,  5.81447272,  5.81648981,
        5.82425108,  5.88397156,  5.81610403,  5.94406385,  5.86066943,
        5.87532561,  5.91237065,  5.9453735 ,  5.92109299,  5.87355523,
        6.3009433 ,  8.77668313,  7.73414671,  7.6294595 ,  8.25599275,
        8.94476235,  9.42416183,  9.69469896,  9.98246517, 10.38013382,
       10.58291271, 11.00413779, 11.0826642 , 11.19286286, 11.17161569,
       11.17588569, 11.15054231, 11.07799451, 11.07830689, 10.96973913,
       10.89371046, 10.94385049, 10.85936723, 10.78304347, 10.73882332,
       10.79525479, 10.75200814, 10.64792921, 10.76381146, 10.75126131,
       10.6897312 , 10.79521448, 10.68728598, 10.62737771, 10.65790749,
       10.68161301, 10.51310067, 10.55477603, 10.36198615, 10.36877463,
       10.34842287, 10.27246363, 10.16880292, 10.11379368, 10.0985523 ,
       10.11179524, 10.00415857,  9.94233257,  9.91285778,  9.8902253 ,
        9.8154307 ,  9.76004372,  9.66118937,  9.62870789,  9.58601646,
        9.48791792,  9.55583728,  9.46465909,  9.51450216,  9.46575252,
        9.42327645,  9.39264948,  9.35586476,  9.3689525 ,  9.30051193,
        9.26069627,  9.24263618,  9.29592451,  9.27260653,  9.23240734,
        9.18236793,  9.16769956,  9.19918364,  9.13888505,  9.07420192,
        9.12293739,  9.06488774,  9.10666557,  9.11151027,  9.05813034,
        9.01444531,  8.91738857,  8.97391907,  8.9567285 ,  8.95032416,
        8.86400427,  8.85793267,  8.81277682,  8.87073631,  8.8298692 ,
        8.78174678,  8.82925053,  8.7905272 ,  8.7520711 ,  8.73577752,
        8.69326761,  8.74451284,  8.75911038,  8.67780924,  8.71035013])]",ccs
or,"[array([ 5.92803147,  5.92280627,  5.92978644,  5.88303739,  5.84702318,
        5.93236825,  5.87384221,  5.82802439,  5.78959975,  5.79932769,
        5.82008543,  5.81722353,  5.77925711,  5.80965344,  5.78995207,
        5.75044604,  5.73775394,  5.79422676,  5.72316216,  5.81145228,
        5.80176799,  5.7929386 ,  5.77658935,  5.78810917,  5.78513584,
        5.76308766,  5.83668604,  5.75981788,  5.76856311,  5.77281247,
        5.78487601,  5.77066926,  5.75631241,  5.8575189 ,  5.80637959,
        5.81558225,  5.79271012,  5.85519539,  5.81447272,  5.81648981,
        5.82425108,  5.88397156,  5.81610403,  5.94406385,  5.86066943,
        5.87532561,  5.91237065,  5.9453735 ,  5.92109299,  5.87355523,
        6.3009433 ,  8.77668313,  7.73414671,  7.6294595 ,  8.25599275,
        8.94476235,  9.42416183,  9.69469896,  9.98246517, 10.38013382,
       10.58291271, 11.00413779, 11.0826642 , 11.19286286, 11.17161569,
       11.17588569, 11.15054231, 11.07799451, 11.07830689, 10.96973913,
       10.89371046, 10.94385049, 10.85936723, 10.78304347, 10.73882332,
       10.79525479, 10.75200814, 10.64792921, 10.76381146, 10.75126131,
       10.6897312 , 10.79521448, 10.68728598, 10.62737771, 10.65790749,
       10.68161301, 10.51310067, 10.55477603, 10.36198615, 10.36877463,
       10.34842287, 10.27246363, 10.16880292, 10.11379368, 10.0985523 ,
       10.11179524, 10.00415857,  9.94233257,  9.91285778,  9.8902253 ,
        9.8154307 ,  9.76004372,  9.66118937,  9.62870789,  9.58601646,
        9.48791792,  9.55583728,  9.46465909,  9.51450216,  9.46575252,
        9.42327645,  9.39264948,  9.35586476,  9.3689525 ,  9.30051193,
        9.26069627,  9.24263618,  9.29592451,  9.27260653,  9.23240734,
        9.18236793,  9.16769956,  9.19918364,  9.13888505,  9.07420192,
        9.12293739,  9.06488774,  9.10666557,  9.11151027,  9.05813034,
        9.01444531,  8.91738857,  8.97391907,  8.9567285 ,  8.95032416,
        8.86400427,  8.85793267,  8.81277682,  8.87073631,  8.8298692 ,
        8.78174678,  8.82925053,  8.7905272 ,  8.7520711 ,  8.73577752,
        8.69326761,  8.74451284,  8.75911038,  8.67780924,  8.71035013]), array([0.78959372, 0.88332838, 1.32025034, 0.91356036, 0.74495086,
       0.74050192, 1.03904636, 1.32025034, 1.22006992, 0.62790744,
       0.97354687, 1.17603578, 0.87749134, 0.86798473, 0.74495086,
       1.01725695, 1.02476675, 0.85509321, 0.98609219, 1.15622104,
       1.58869405, 1.01233054, 0.82533869, 1.19734773, 0.68895799,
       1.31886224, 1.45476548, 1.44586759, 0.88638923, 0.77717966,
       0.90021353, 0.74143469, 0.75584557, 0.95727044, 1.05193788,
       1.33021226, 1.02721888, 1.30948689, 1.23554483, 1.45708635,
       1.39126281, 1.65757845, 1.18538899, 0.86353578, 1.09610327,
       1.08520857, 1.29846093, 0.50487358, 0.76873709, 0.74143469,
       1.06880088, 1.57732188, 1.59101492, 1.71556814, 1.69330127,
       1.31777606, 1.25227657, 1.60494833, 2.21245445, 2.29529441,
       2.71346566, 3.62561578, 4.09826056, 4.46608318, 4.30684903,
       4.55150652, 5.6076784 , 7.11457439, 7.17375938, 7.84290262,
       6.48328204, 7.94859603, 7.16180064, 5.40393266, 5.24656407,
       4.88054547, 5.03240108, 5.318054  , 4.50009385, 4.35375122,
       3.79368629, 3.82802102, 4.73372538, 3.79168947, 3.99615305,
       4.05310086, 4.27735703, 3.6345834 , 3.07297696, 2.71937243,
       3.69456991, 3.39144526, 3.52478726, 2.13000828, 3.37258544,
       3.1860489 , 2.3527451 , 2.85178165, 2.40218311, 2.51445353,
       2.04072257, 3.03712289, 2.46123684, 3.20890235, 2.71678904,
       2.12403999, 2.78673747, 2.79962899, 2.40676331, 2.05361409,
       2.15917623, 1.99503782, 1.84669838, 2.24846194, 2.07401541,
       1.94453578, 1.68360186, 2.09228865, 2.27437625, 1.74558518,
       2.00745188, 2.11959104, 1.3125256 , 1.73317113, 2.49160008,
       2.09135587, 2.423171  , 2.00055081, 2.38497391, 2.29123925,
       2.35966833, 2.12065508, 2.84381653, 2.09780163, 2.60970754,
       2.82447925, 2.5670615 , 2.46336491, 2.11314528, 2.45878471,
       2.35029298, 2.70789115, 3.24158647, 2.67169086, 2.17771199,
       2.45691915, 3.12454305, 2.853301  , 2.88997874, 3.06104037])]",or
